scheme_id,name,name_hindi,category,level,state,ministry,description,benefits,benefit_amount,age_min,age_max,gender,income_limit_annual,income_limit_display,caste_category,occupation,is_bpl_required,land_holding_max_acres,education_requirement,disability_applicable,marital_status,domicile_required,documents_required,application_mode,application_url,official_pdf_url,launched_year,deadline,target_beneficiaries,chunk_count,active,last_updated
scheme_pmjay,Pradhan Mantri Jan Arogya Yojana (PM-JAY) — Ayushman Bharat,प्रधानमंत्री जन आरोग्य योजना,health,central,,Ministry of Health and Family Welfare,Largest government-funded health insurance scheme providing health cover of Rs. 5 lakh per family per year for secondary and tertiary hospitalization.,"Health cover of Rs. 5 lakh per family per year for 1,929 medical procedures at empanelled hospitals; Cashless and paperless access",500000 per family per year,0,,All,,SECC 2011 database-based eligibility; BPL,All,Any,Yes (SECC-based),,None,Yes,Any,Yes,"Aadhaar card, Ration card, SECC/BPL certificate",Online,https://pmjay.gov.in,https://pmjay.gov.in/sites/default/files/2019-09/PM-JAY-Guidelines.pdf,2018,No fixed deadline,Bottom 40% of India's population (~10.74 crore families),1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_jsy,Janani Suraksha Yojana (JSY),जननी सुरक्षा योजना,health,central,,Ministry of Health and Family Welfare,Safe motherhood intervention promoting institutional delivery among poor pregnant women to reduce maternal and neonatal mortality.,Cash incentive: Rs. 1400 (rural) / Rs. 1000 (urban) in LPS states; Rs. 700 (rural) / Rs. 600 (urban) in HPS states; Free delivery at government health centres,1400 (rural LPS) / 1000 (urban LPS),19,,Female,,BPL preferred; All eligible in LPS states,All (SC/ST in HPS states),Any,Yes (HPS); No (LPS),,None,Yes,Pregnant women,Yes,"Aadhaar, JSY card (from ASHA/ANM), Bank account, BPL card (if HPS state)",Offline,https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841&lid=309,https://nhm.gov.in/images/pdf/guidelines/nrhm-guidelines/jsy/jsy_operational_guidelines_updated.pdf,2005,No fixed deadline,Pregnant women (BPL) preferring institutional delivery,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmmvy,Pradhan Mantri Matru Vandana Yojana (PMMVY),प्रधानमंत्री मातृ वंदना योजना,health,central,,Ministry of Women and Child Development,Maternity benefit programme providing cash incentives to pregnant women and lactating mothers to compensate for wage loss and improve health and nutrition.,Rs. 5000 in 3 installments for first live birth (Rs. 1000 + Rs. 2000 + Rs. 2000); Rs. 6000 for second birth if girl child,5000 for first child; 6000 for second (girl child),19,,Female,,No income limit,All,Any,No,,None,Yes,Pregnant/Lactating,Yes,"Aadhaar, Bank account, MCP card (from ANM), Proof of pregnancy",Offline,https://pmmvy.wcd.gov.in,https://wcd.nic.in/sites/default/files/PMMVY%20Scheme%20Implementaion%20Guidelines%20.pdf,2017,No fixed deadline,Pregnant women and lactating mothers (first live birth),1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmsby,Pradhan Mantri Suraksha Bima Yojana (PMSBY),प्रधानमंत्री सुरक्षा बीमा योजना,health,central,,Ministry of Finance,Accidental death and disability insurance cover at premium of Rs. 20 per year.,Rs. 2 lakh for accidental death or total permanent disability; Rs. 1 lakh for partial permanent disability,200000 for death/total disability; 100000 for partial disability,18,70,All,,No income limit,All,Any,No,,None,Yes,Any,Yes,"Aadhaar, Bank account (savings)",Online/Offline,https://jansuraksha.gov.in,https://jansuraksha.gov.in/Files/PMSBY/English/Rules.pdf,2015,Annual renewal by May 31,Bank account holders aged 18-70,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmjjby,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),प्रधानमंत्री जीवन ज्योति बीमा योजना,health,central,,Ministry of Finance,Life insurance scheme providing coverage for death due to any reason at an annual premium of Rs. 436.,Rs. 2 lakh life insurance cover for death due to any cause,200000,18,50,All,,No income limit,All,Any,No,,None,Yes,Any,Yes,"Aadhaar, Bank account (savings)",Online/Offline,https://jansuraksha.gov.in,https://jansuraksha.gov.in/Files/PMJJBY/English/Rules.pdf,2015,Annual renewal by May 31,Bank account holders aged 18-50,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_nhm_rsby,Rashtriya Swasthya Bima Yojana (RSBY),राष्ट्रीय स्वास्थ्य बीमा योजना,health,central,,Ministry of Labour and Employment,Health insurance for BPL families and unorganised sector workers providing cashless hospitalisation.,"Cashless hospitalisation up to Rs. 30,000 per family per year; Coverage for up to 5 family members; Smart card issued",30000 per year,0,,All,,BPL or unorganised sector workers,All,Unorganised sector,Yes,,None,Yes,Any,Yes,"BPL card, Aadhaar, Bank account, Ration card",Offline,https://rsby.gov.in,https://rsby.gov.in/overview.aspx,2008,Superseded by PM-JAY in most states,BPL families and unorganised workers,1,false,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_nsp_postmatric_sc,Post-Matric Scholarship for SC Students,अनुसूचित जाति छात्रों के लिए पोस्ट मैट्रिक छात्रवृत्ति,education,central,,Ministry of Social Justice and Empowerment,Financial assistance to SC students studying at post-matriculation level (class 11 and above) to enable them to complete their education.,Maintenance allowance: Rs. 380–1200/month; Reader charges for blind; Study tour; Thesis typing; Book allowance for professional courses,380 to 1200 per month maintenance allowance,0,,All,250000,Annual parental income up to Rs. 2.5 lakh,SC,Student,No,,Passed class 10 (matriculation),Yes,Any,Yes,"Aadhaar, Caste certificate (SC), Income certificate, Last exam marksheet, Bonafide student certificate, Bank account",Online,https://scholarships.gov.in,https://scholarships.gov.in/public/schemeGuidelines/postMatricScholarshipSC.pdf,1944,October 31 each year,SC students in post-matric education,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_nsp_postmatric_obc,Post-Matric Scholarship for OBC Students,अन्य पिछड़ा वर्ग छात्रों के लिए पोस्ट मैट्रिक छात्रवृत्ति,education,central,,Ministry of Social Justice and Empowerment,Financial assistance to OBC students studying at post-matriculation level to enable them to complete their education.,Rs. 300–1000/month maintenance allowance; Study material charges; Hostel charges support,300 to 1000 per month,0,,All,100000,Annual parental income up to Rs. 1 lakh,OBC,Student,No,,Passed class 10,Yes,Any,Yes,"Aadhaar, OBC certificate, Income certificate, Marksheet, Bonafide certificate, Bank account",Online,https://scholarships.gov.in,https://scholarships.gov.in/public/schemeGuidelines/postMatricScholarshipOBC.pdf,1998,October 31 each year,OBC students in post-matric education,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_nsp_prematric_sc,Pre-Matric Scholarship for SC Students (Class 9-10),अनुसूचित जाति छात्रों के लिए प्री मैट्रिक छात्रवृत्ति,education,central,,Ministry of Social Justice and Empowerment,Scholarship to SC students studying in class 9 and 10 to prevent dropout and encourage continuation of education.,Day scholars: Rs. 150/month (class 9-10); Hostellers: Rs. 350/month; Books/stationery: Rs. 750/year,150 per month day scholar; 350 per month hosteller,0,,All,250000,Annual parental income up to Rs. 2.5 lakh,SC,Student (Class 9-10),No,,Currently studying in class 9 or 10,Yes,Any,Yes,"Aadhaar, SC caste certificate, Income certificate, School enrollment certificate, Bank account",Online,https://scholarships.gov.in,https://scholarships.gov.in/public/schemeGuidelines/preMatricSCScholarship.pdf,1977,October 31 each year,SC students in class 9-10,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_nsp_minority,Pre-Matric and Post-Matric Scholarship for Minorities,अल्पसंख्यकों के लिए प्री और पोस्ट मैट्रिक छात्रवृत्ति,education,central,,Ministry of Minority Affairs,"Scholarship for students from minority communities (Muslim, Christian, Sikh, Buddhist, Parsi, Jain) to provide equal opportunity in education.","Pre-matric: Rs. 100-600/month; Post-matric: Rs. 235-1235/month; Merit-cum-means: Up to Rs. 20,000/year",100 to 1235 per month,0,,All,200000,Annual family income up to Rs. 2 lakh (pre/post matric); Rs. 2.5 lakh (merit-cum-means),Minority communities,Student,No,,Class 1 onwards (pre-matric); Class 11 onwards (post-matric),Yes,Any,Yes,"Aadhaar, Minority community certificate, Income certificate, Marksheet, Bonafide student certificate, Bank account",Online,https://scholarships.gov.in,https://scholarships.gov.in/public/schemeGuidelines/minorityScholarship.pdf,2006,October 31 each year,Students from 6 notified minority communities,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmrf,PM Research Fellowship (PMRF),प्रधानमंत्री रिसर्च फेलोशिप,education,central,,Ministry of Education,Fellowship to attract brilliant students with aptitude for research to pursue PhD program at IITs/IISc/NITs.,"Fellowship of Rs. 70,000/month in first 2 years; Rs. 75,000/month in 3rd year; Rs. 80,000/month in 4th-5th year; Research grant of Rs. 2 lakh/year",70000 to 80000 per month,0,30,All,,No income limit (merit-based),All,Student (PhD),No,,B.Tech/Integrated M.Tech or B.Sc/M.Sc from IIT/IISc/NIT/IISER with CGPA >= 8.0,Yes,Any,Yes,"Aadhaar, Degree certificate, CGPA marksheet, Research proposal, Recommendation letters",Online,https://pmrf.in,https://pmrf.in/documents/PMRF_scheme_guidelines.pdf,2018,Semester-specific deadlines,Meritorious students pursuing PhD at IITs/IISc/NITs/IISERs,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_mid_day_meal,PM POSHAN (Mid-Day Meal Scheme),प्रधानमंत्री पोषण शक्ति निर्माण,education,central,,Ministry of Education,Cooked hot meal provided to students of class 1-8 in government and government-aided schools to improve nutrition and school attendance.,Free nutritious cooked mid-day meal; Calories: 450-700 kcal; Protein: 12-20g per day based on class,Free meal,6,14,All,,No income limit (available to all enrolled students),All,School student (Class 1-8),No,,Enrolled in class 1-8 in government/aided school,Yes,Any,Yes,School enrollment,Automatic (school-based),https://pmposhan.education.gov.in,https://mdm.nic.in/files/Revised-Guidelines-2006.pdf,1995,No fixed deadline,Government school students class 1-8,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_nsp_top_class_sc,Top Class Education for SC Students,अनुसूचित जाति के छात्रों के लिए शीर्ष श्रेणी शिक्षा,education,central,,Ministry of Social Justice and Empowerment,"Full financial support for SC students pursuing professional/technical education at top institutions including IITs, IIMs, NLUs, AIIMS.",Full tuition fee; Living expenses of Rs. 2220/month; Books/stationery: Rs. 3000/year; Computer allowance,Full tuition + 2220 per month living expenses,0,,All,600000,Annual family income up to Rs. 6 lakh,SC,Student,No,,Admitted to one of 266 notified top institutions,Yes,Any,Yes,"Aadhaar, SC certificate, Income certificate, Admission letter, Marksheet, Bank account",Online,https://scholarships.gov.in,https://scholarships.gov.in/public/schemeGuidelines/topClassSCScholarship.pdf,2006,October 31 each year,SC students in top professional institutions,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_mgnregs,Mahatma Gandhi National Rural Employment Guarantee Scheme (MGNREGS),महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी योजना,employment,central,,Ministry of Rural Development,Legal guarantee of 100 days of wage employment per financial year to rural households whose adult members are willing to do unskilled manual work.,Guaranteed 100 days of wage employment; Wages at statutory minimum wage (Rs. 201-303/day by state); Unemployment allowance if work not provided,201 to 303 per day (state-wise wage rates),18,,All,,Rural household; No income limit,All (SC/ST and women priority),Rural household seeking unskilled work,No,,None,Yes,Any,Yes (rural area),"Aadhaar, Job card (MGNREGS), Bank account, Residence proof",Offline,https://nrega.nic.in,https://nrega.nic.in/Nrega_guidelinesHome.aspx,2005,No fixed deadline,Rural households willing to do manual work,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmmy_shishu,Pradhan Mantri MUDRA Yojana — Shishu Loan,प्रधानमंत्री मुद्रा योजना — शिशु,employment,central,,Ministry of Finance,"Collateral-free micro-enterprise loans for non-farm income generating activities under Shishu category (up to Rs. 50,000).","Loan up to Rs. 50,000 without collateral; Subsidized interest rate; MUDRA card for working capital",Up to 50000 loan,18,,All,,No income limit,All,Micro-entrepreneur/Self-employed,No,,None,Yes,Any,Yes,"Aadhaar, PAN card, Business plan, Address proof, Bank account, Passport photo",Online/Offline,https://www.mudra.org.in,https://www.mudra.org.in/Content/404/MUDRA_brochure_2017.pdf,2015,No fixed deadline,"Micro-entrepreneurs with business up to Rs. 50,000 loan requirement",1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmmy_kishore,Pradhan Mantri MUDRA Yojana — Kishore Loan,प्रधानमंत्री मुद्रा योजना — किशोर,employment,central,,Ministry of Finance,"MUDRA loan under Kishore category for micro/small enterprises requiring loan of Rs. 50,001 to Rs. 5 lakh.","Loan from Rs. 50,001 to Rs. 5 lakh; No collateral; MUDRA card; Working capital support",50001 to 500000 loan,18,,All,,No income limit,All,Small enterprise owner/Self-employed,No,,None,Yes,Any,Yes,"Aadhaar, PAN, Business registration/proof, 2-year ITR (if applicable), Bank statements, Address proof",Online/Offline,https://www.mudra.org.in,https://www.mudra.org.in/Content/404/MUDRA_brochure_2017.pdf,2015,No fixed deadline,"Small business owners needing Rs. 50,001–5 lakh",1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmmy_tarun,Pradhan Mantri MUDRA Yojana — Tarun Loan,प्रधानमंत्री मुद्रा योजना — तरुण,employment,central,,Ministry of Finance,MUDRA loan under Tarun category for established small enterprises requiring loan of Rs. 5 lakh to Rs. 10 lakh.,Loan from Rs. 5 lakh to Rs. 10 lakh; Competitive interest rates; No compulsory collateral,500000 to 1000000 loan,18,,All,,No income limit,All,Established small enterprise owner,No,,None,Yes,Any,Yes,"Aadhaar, PAN, Business proof, 2-year ITR, Bank statements, Business plan, Collateral documents (if available)",Online/Offline,https://www.mudra.org.in,https://www.mudra.org.in/Content/404/MUDRA_brochure_2017.pdf,2015,No fixed deadline,Established small business owners needing Rs. 5–10 lakh,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmkvy,Pradhan Mantri Kaushal Vikas Yojana (PMKVY),प्रधानमंत्री कौशल विकास योजना,employment,central,,Ministry of Skill Development and Entrepreneurship,Skill certification scheme providing free short-term skill training and monetary reward to youth.,"Free skill training of 150-300 hours; Certificate recognized by industry; Average reward Rs. 8,000; Placement assistance",8000 average monetary reward,15,45,All,,No income limit,All,School dropout/unemployed youth,No,,School dropout or class 8/10/12 pass,Yes,Any,Yes,"Aadhaar, Educational certificate, Bank account, Passport photo",Online,https://www.pmkvyofficial.org,https://www.pmkvyofficial.org/App_Documents/Document/PMKVY%203.0%20Guidelines.pdf,2015,Batch-specific deadlines,Youth aged 15-45 seeking skill development,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmegp,Prime Minister's Employment Generation Programme (PMEGP),प्रधानमंत्री रोजगार सृजन कार्यक्रम,employment,central,,Ministry of MSME,Credit-linked subsidy programme to generate employment through establishment of micro-enterprises in non-farm sector.,"25-35% subsidy on project cost in urban areas; 25-35% in rural areas (higher for SC/ST/Women/Ex-servicemen); Project cost up to Rs. 50 lakh (manufacturing), Rs. 20 lakh (service)",15 to 35 percent subsidy on project cost,18,,All,,No income limit,All (higher subsidy for SC/ST/Women/Minorities/PH/NER),New entrepreneur/Self Help Group,No,,Class 8 pass (for projects above Rs. 10 lakh),Yes,Any,Yes,"Aadhaar, PAN, Educational certificate, Project report, Bank account, Passport photo, Caste certificate (if applicable)",Online,https://www.kviconline.gov.in/pmegpeportal,https://www.kviconline.gov.in/pmegpeportal/pmegphome/home.jsp,2008,No fixed deadline,Aspiring entrepreneurs for micro-enterprise setup,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pm_svanidhi,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),प्रधानमंत्री स्ट्रीट वेंडर आत्मनिर्भर निधि,employment,central,,Ministry of Housing and Urban Affairs,Working capital loan scheme for street vendors to resume their livelihoods affected by COVID-19.,"First loan Rs. 10,000; Second loan Rs. 20,000; Third loan Rs. 50,000; 7% interest subsidy; Digital transactions incentive Rs. 1200/year",10000 to 50000 collateral-free loan,18,,All,,No income limit,All,Street vendor,No,,None,Yes,Any,Yes,"Aadhaar, Vending certificate/ID card issued by ULB, Bank account, Mobile number",Online/Offline,https://pmsvanidhi.mohua.gov.in,https://pmsvanidhi.mohua.gov.in/Schemes,2020,No fixed deadline,Urban street vendors,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_standup_india,Stand-Up India Scheme,स्टैंड अप इंडिया,employment,central,,Ministry of Finance,Bank loans between Rs. 10 lakh and Rs. 1 crore to at least one SC/ST borrower and one woman borrower per bank branch for setting up greenfield enterprise.,Loan Rs. 10 lakh to Rs. 1 crore; Repayment tenure up to 7 years; Composite loan (term loan + working capital); Standup Mitra portal support,1000000 to 10000000 loan,18,,All (Women priority; SC/ST priority),,No income limit,SC/ST (or Women),First-time entrepreneur (greenfield),No,,None,Yes,Any,Yes,"Aadhaar, PAN, Caste/gender certificate, Business plan, Bank account, Address proof",Online,https://www.standupmitra.in,https://www.standupmitra.in/Home/SUISchemes,2016,No fixed deadline,SC/ST and women first-time entrepreneurs,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_atal_pension,Atal Pension Yojana (APY),अटल पेंशन योजना,employment,central,,Ministry of Finance,Pension scheme for unorganised sector workers providing guaranteed pension of Rs. 1000-5000 per month after age 60.,Guaranteed pension of Rs. 1000/2000/3000/4000/5000 per month after 60; Government co-contribution of 50% up to Rs. 1000/year for 5 years (for those not in income tax bracket),1000 to 5000 per month pension,18,40,All,,Not in income tax bracket for government co-contribution,All,Unorganised sector worker,No,,None,Yes,Any,Yes,"Aadhaar, Bank account (savings), Mobile number",Online/Offline,https://www.npscra.nsdl.co.in/scheme-details.php,https://www.pfrda.org.in/writereaddata/links/APY%20BOOKLET6c92be62-c4c5-4571-8b31-d2e10d95bfac.pdf,2015,No fixed deadline,Unorganised sector workers aged 18-40,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_nsap_ignoaps,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),इंदिरा गांधी राष्ट्रीय वृद्धावस्था पेंशन योजना,employment,central,,Ministry of Rural Development,Monthly pension for destitute senior citizens aged 60 and above from BPL households.,Central contribution: Rs. 200/month (60-79 years); Rs. 500/month (80+ years); States add their own contribution,200 per month (60-79) + state top-up,60,,All,,BPL household (NSAP criteria),All,Retired/unemployed elderly,Yes,,None,Yes,Any,Yes,"Aadhaar, Age proof, BPL certificate, Bank account, Passport photo",Offline,https://nsap.nic.in,https://nsap.nic.in/guideline.do,1995,No fixed deadline,BPL elderly aged 60+ years,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_igndps,Indira Gandhi National Disability Pension Scheme (IGNDPS),इंदिरा गांधी राष्ट्रीय विकलांगता पेंशन योजना,employment,central,,Ministry of Rural Development,Monthly pension for persons with severe/multiple disabilities aged 18-79 years from BPL households.,Rs. 300/month central contribution; States add top-up; Total varies by state (usually Rs. 500-1000),300 per month + state top-up,18,79,All,,BPL household,All,Any,Yes,,None,Yes (80%+ disability required),Any,Yes,"Aadhaar, Disability certificate (80%+), BPL certificate, Bank account, Passport photo, Age proof",Offline,https://nsap.nic.in,https://nsap.nic.in/guideline.do,2009,No fixed deadline,BPL persons with severe disability aged 18-79,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_bbbp,Beti Bachao Beti Padhao (BBBP),बेटी बचाओ बेटी पढ़ाओ,education,central,,Ministry of Women and Child Development,Address declining child sex ratio and promote welfare and education of girl child; multi-sectoral programme.,Awareness programmes; Improved enrolment of girls in schools; Scholarships; No direct cash transfer,No direct cash (programme benefits),0,18,Female,,No income limit,All,Girl child,No,,None,Yes,Any,Yes,"Birth certificate, Aadhaar (parents)",Automatic/Offline,https://wcdhry.gov.in/bbbp/,https://wcd.nic.in/sites/default/files/BBBP_Guidelines.pdf,2015,No fixed deadline,Girl children and their families,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
